user_id,recommendations
u1,FIFA 24 (i4) | Super Smash Bros (i10) | Animal Crossing (i5) | Grand Theft Auto V (i8) | Elden Ring (i6) | Fortnite (i9) | Minecraft (i7)
u10,Mario Kart 8 Deluxe (i1) | Grand Theft Auto V (i8) | Call of Duty: Modern Warfare (i3) | Minecraft (i7) | FIFA 24 (i4) | The Legend of Zelda (i2) | Animal Crossing (i5) | Elden Ring (i6)
u2,Call of Duty: Modern Warfare (i3) | Mario Kart 8 Deluxe (i1) | Grand Theft Auto V (i8) | Elden Ring (i6) | Super Smash Bros (i10) | Animal Crossing (i5) | Minecraft (i7) | Fortnite (i9)
u3,Super Smash Bros (i10) | The Legend of Zelda (i2) | Call of Duty: Modern Warfare (i3) | Elden Ring (i6) | Minecraft (i7) | FIFA 24 (i4) | Grand Theft Auto V (i8) | Fortnite (i9)
u4,Grand Theft Auto V (i8) | Animal Crossing (i5) | The Legend of Zelda (i2) | Fortnite (i9) | Super Smash Bros (i10) | Call of Duty: Modern Warfare (i3) | FIFA 24 (i4) | Mario Kart 8 Deluxe (i1)
u5,Minecraft (i7) | Super Smash Bros (i10) | Call of Duty: Modern Warfare (i3) | The Legend of Zelda (i2) | Elden Ring (i6) | FIFA 24 (i4) | Mario Kart 8 Deluxe (i1) | Animal Crossing (i5)
u6,The Legend of Zelda (i2) | Animal Crossing (i5) | Call of Duty: Modern Warfare (i3) | Fortnite (i9) | Minecraft (i7) | FIFA 24 (i4) | Grand Theft Auto V (i8) | Elden Ring (i6)
u7,The Legend of Zelda (i2) | Mario Kart 8 Deluxe (i1) | Grand Theft Auto V (i8) | Fortnite (i9) | Super Smash Bros (i10) | Minecraft (i7) | Animal Crossing (i5) | Elden Ring (i6)
u8,Mario Kart 8 Deluxe (i1) | Minecraft (i7) | The Legend of Zelda (i2) | Grand Theft Auto V (i8) | Super Smash Bros (i10) | Fortnite (i9) | Call of Duty: Modern Warfare (i3) | FIFA 24 (i4)
u9,Elden Ring (i6) | Fortnite (i9) | The Legend of Zelda (i2) | Call of Duty: Modern Warfare (i3) | Super Smash Bros (i10) | FIFA 24 (i4) | Mario Kart 8 Deluxe (i1) | Animal Crossing (i5)
